Auditing all 48 Boolean classes and the six starting functions
Level 1: 48 distinct classes cover all 2^26 affine cosets; six selected
Level 2 seed 1: 20 orbit extensions, 9 pass capacity (0.42s)
Level 2 seed 2: 111 orbit extensions, 99 pass capacity (0.45s)
Level 2 seed 3: 179 orbit extensions, 175 pass capacity (0.44s)
Level 2 seed 4: 197 orbit extensions, 184 pass capacity (0.44s)
Level 2 seed 5: 2073 orbit extensions, 2047 pass capacity (0.41s)
Level 2 seed 6: 1048 orbit extensions, 1023 pass capacity (0.45s)
Classifying 3537 level-2 maps
Level 2: 1782 CCZ classes
Level 3 parent 127/1782: 2755 candidates, 958 capacity, 0 extendable (0.27s)
Level 3 parent 128/1782: 2371 candidates, 851 capacity, 0 extendable (0.33s)
Level 3 parent 129/1782: 2441 candidates, 821 capacity, 0 extendable (0.34s)
Level 3 parent 130/1782: 2412 candidates, 616 capacity, 0 extendable (0.25s)
Level 3 parent 131/1782: 2720 candidates, 806 capacity, 0 extendable (0.33s)
Level 3 parent 132/1782: 2529 candidates, 818 capacity, 0 extendable (0.29s)
Level 3 parent 133/1782: 671 candidates, 335 capacity, 0 extendable (0.25s)
Level 3 parent 134/1782: 2570 candidates, 730 capacity, 7 extendable (0.27s)
Level 3 parent 135/1782: 2463 candidates, 446 capacity, 0 extendable (0.24s)
Level 3 parent 136/1782: 2730 candidates, 815 capacity, 0 extendable (0.28s)
Level 3 parent 137/1782: 2615 candidates, 904 capacity, 0 extendable (0.28s)
Level 3 parent 138/1782: 2425 candidates, 776 capacity, 0 extendable (0.28s)
Level 3 parent 139/1782: 772 candidates, 261 capacity, 0 extendable (0.24s)
Level 3 parent 140/1782: 2620 candidates, 596 capacity, 0 extendable (0.23s)
Level 3 parent 141/1782: 2395 candidates, 724 capacity, 0 extendable (0.28s)
Level 3 parent 142/1782: 2303 candidates, 585 capacity, 0 extendable (0.24s)
Level 3 parent 143/1782: 2503 candidates, 817 capacity, 14 extendable (0.30s)
Level 3 parent 144/1782: 2549 candidates, 604 capacity, 0 extendable (0.29s)
Level 3 parent 145/1782: 2332 candidates, 440 capacity, 0 extendable (0.26s)
Level 3 parent 146/1782: 2463 candidates, 368 capacity, 0 extendable (0.25s)
Level 3 parent 147/1782: 2980 candidates, 1094 capacity, 0 extendable (0.27s)
Level 3 parent 148/1782: 2276 candidates, 590 capacity, 0 extendable (0.23s)
Level 3 parent 149/1782: 2252 candidates, 772 capacity, 0 extendable (0.25s)
Level 3 parent 150/1782: 2473 candidates, 912 capacity, 0 extendable (0.25s)
Level 3 parent 151/1782: 2276 candidates, 670 capacity, 0 extendable (0.25s)
Level 3 parent 152/1782: 2544 candidates, 578 capacity, 0 extendable (0.25s)
Level 3 parent 153/1782: 2692 candidates, 838 capacity, 0 extendable (0.23s)
Level 3 parent 154/1782: 2271 candidates, 567 capacity, 0 extendable (0.26s)
Level 3 parent 155/1782: 2779 candidates, 884 capacity, 0 extendable (0.23s)
Level 3 parent 156/1782: 655 candidates, 328 capacity, 0 extendable (0.22s)
Level 3 parent 157/1782: 3140 candidates, 1476 capacity, 0 extendable (0.28s)
Level 3 parent 158/1782: 2646 candidates, 926 capacity, 0 extendable (0.26s)
Level 3 parent 159/1782: 2639 candidates, 938 capacity, 0 extendable (0.25s)
Level 3 parent 160/1782: 2844 candidates, 758 capacity, 0 extendable (0.28s)
Level 3 parent 161/1782: 2510 candidates, 1047 capacity, 0 extendable (0.32s)
Level 3 parent 162/1782: 2738 candidates, 788 capacity, 0 extendable (0.26s)
Level 3 parent 163/1782: 2282 candidates, 788 capacity, 0 extendable (0.25s)
Level 3 parent 164/1782: 676 candidates, 240 capacity, 0 extendable (0.23s)
Level 3 parent 165/1782: 2521 candidates, 623 capacity, 0 extendable (0.25s)
Level 3 parent 166/1782: 2548 candidates, 1053 capacity, 0 extendable (0.34s)
Level 3 parent 167/1782: 2609 candidates, 910 capacity, 0 extendable (0.27s)
Level 3 parent 168/1782: 2450 candidates, 747 capacity, 0 extendable (0.24s)
Level 3 parent 169/1782: 2307 candidates, 969 capacity, 0 extendable (0.36s)
Level 3 parent 170/1782: 2815 candidates, 944 capacity, 0 extendable (0.28s)
Level 3 parent 171/1782: 2464 candidates, 515 capacity, 0 extendable (0.31s)
Level 3 parent 172/1782: 2415 candidates, 797 capacity, 0 extendable (0.30s)
Level 3 parent 173/1782: 2406 candidates, 723 capacity, 0 extendable (0.23s)
Level 3 parent 174/1782: 2725 candidates, 1336 capacity, 0 extendable (0.33s)
Level 3 parent 175/1782: 2703 candidates, 673 capacity, 0 extendable (0.24s)
Level 3 parent 176/1782: 691 candidates, 202 capacity, 0 extendable (0.25s)
Level 3 parent 177/1782: 2245 candidates, 773 capacity, 0 extendable (0.27s)
Level 3 parent 178/1782: 2399 candidates, 468 capacity, 0 extendable (0.28s)
Level 3 parent 179/1782: 2431 candidates, 618 capacity, 0 extendable (0.24s)
Level 3 parent 180/1782: 641 candidates, 138 capacity, 0 extendable (0.22s)
Level 3 parent 181/1782: 2560 candidates, 563 capacity, 0 extendable (0.30s)
Level 3 parent 182/1782: 705 candidates, 347 capacity, 0 extendable (0.23s)
Level 3 parent 183/1782: 2969 candidates, 885 capacity, 0 extendable (0.27s)
Level 3 parent 184/1782: 2326 candidates, 774 capacity, 0 extendable (0.30s)
Level 3 parent 185/1782: 2597 candidates, 785 capacity, 0 extendable (0.32s)
Level 3 parent 186/1782: 641 candidates, 203 capacity, 0 extendable (0.25s)
Level 3 parent 187/1782: 2392 candidates, 833 capacity, 0 extendable (0.28s)
Level 3 parent 188/1782: 567 candidates, 189 capacity, 0 extendable (0.21s)
Level 3 parent 189/1782: 2456 candidates, 948 capacity, 0 extendable (0.32s)
Level 3 parent 190/1782: 2539 candidates, 958 capacity, 0 extendable (0.30s)
Level 3 parent 191/1782: 2107 candidates, 453 capacity, 0 extendable (0.25s)
Level 3 parent 192/1782: 2306 candidates, 638 capacity, 0 extendable (0.29s)
Level 3 parent 193/1782: 560 candidates, 236 capacity, 0 extendable (0.23s)
Level 3 parent 194/1782: 2203 candidates, 337 capacity, 0 extendable (0.25s)
Level 3 parent 195/1782: 2447 candidates, 506 capacity, 0 extendable (0.23s)
Level 3 parent 196/1782: 2624 candidates, 881 capacity, 0 extendable (0.29s)
Level 3 parent 197/1782: 2604 candidates, 462 capacity, 0 extendable (0.22s)
Level 3 parent 198/1782: 2605 candidates, 718 capacity, 0 extendable (0.30s)
Level 3 parent 199/1782: 2432 candidates, 684 capacity, 0 extendable (0.25s)
Level 3 parent 200/1782: 2657 candidates, 588 capacity, 0 extendable (0.27s)
Level 3 parent 201/1782: 2958 candidates, 1084 capacity, 0 extendable (0.28s)
Level 3 parent 202/1782: 2636 candidates, 696 capacity, 0 extendable (0.24s)
Level 3 parent 203/1782: 2315 candidates, 443 capacity, 0 extendable (0.22s)
Level 3 parent 204/1782: 2801 candidates, 649 capacity, 0 extendable (0.21s)
Level 3 parent 205/1782: 738 candidates, 261 capacity, 0 extendable (0.22s)
Level 3 parent 206/1782: 2316 candidates, 418 capacity, 0 extendable (0.26s)
Level 3 parent 207/1782: 2660 candidates, 368 capacity, 0 extendable (0.24s)
Level 3 parent 208/1782: 674 candidates, 285 capacity, 0 extendable (0.23s)
Level 3 parent 209/1782: 2516 candidates, 1170 capacity, 0 extendable (0.31s)
Level 3 parent 210/1782: 692 candidates, 233 capacity, 0 extendable (0.22s)
Level 3 parent 211/1782: 2214 candidates, 556 capacity, 0 extendable (0.27s)
Level 3 parent 212/1782: 2574 candidates, 720 capacity, 0 extendable (0.26s)
Level 3 parent 213/1782: 2775 candidates, 654 capacity, 0 extendable (0.29s)
